Magnolia 5 UI,Magnolia 6 UI,Tests,Conversion support,Conversion test
FieldDefinition,,,,
info.magnolia.ui.contentapp.field.LinkFieldSelectionDefinition,No direct replacement,,,"
"
info.magnolia.ui.contentapp.field.WorkbenchFieldDefinition,No direct replacement,,,"
"
info.magnolia.ui.form.field.definition.BasicTextCodeFieldDefinition,info.magnolia.ui.field.CodeFieldDefinition (codeField),"CodeFieldFactoryTest
",CodeFieldDefinitionConverter,"CodeFieldDefinitionConverterTest

"
info.magnolia.ui.form.field.definition.BasicUploadFieldDefinition,info.magnolia.ui.field.UploadFieldDefinition (uploadField),,BasicUploadFieldDefinitionConverter,"BasicUploadFieldDefinitionConverterTest

magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/upload.yaml
"
info.magnolia.ui.form.field.definition.CheckboxFieldDefinition,info.magnolia.ui.field.CheckBoxFieldDefinition (checkBoxField),"CheckBoxFieldFactoryTest
",CheckboxFieldDefinitionConverter,"CheckboxFieldDefinitionConverterTest

magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/fieldTypesMix.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/checkbox.yaml
"
info.magnolia.ui.form.field.definition.CodeFieldDefinition,info.magnolia.ui.field.CodeFieldDefinition (codeField),"CodeFieldFactoryTest
",CodeFieldDefinitionConverter,"CodeFieldDefinitionConverterTest

magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/code.yaml
"
info.magnolia.ui.form.field.definition.CompositeFieldDefinition,info.magnolia.ui.field.CompositeFieldDefinition (compositeField),"magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/multi_field_with_name_decoration.yaml
magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/simple_multi.yaml
magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/nested_i18n.yaml
magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/simple_multi_lex.yaml",CompositeFieldDefinitionConverter,"CompositeFieldDefinitionConverterTest

magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/multi_subchildren.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/composite_delegating.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/multi_nested.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/multi_delegating.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/composite_default.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/fieldTypes/composite.yaml
"
info.magnolia.ui.form.field.definition.ConfiguredFieldDefinition,info.magnolia.ui.field.ConfiguredFieldDefinition (-),,,"
"
info.magnolia.ui.form.field.definition.DateFieldDefinition,info.magnolia.ui.field.DateFieldDefinition (dateField),,DateFieldDefinitionConverter,"DateFieldDefinitionConverterTest

magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/fieldTypesMix.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/date.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/composite_delegating.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/composite_default.yaml
"
info.magnolia.ui.form.field.definition.HiddenFieldDefinition,info.magnolia.ui.field.HiddenFieldDefinition (hiddenField),"magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/hidden.yaml
",HiddenFieldDefinitionConverter,"HiddenFieldDefinitionConverterTest

magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/hidden.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/fieldTypesMix.yaml
"
